"Age","Urban","Tenure","Educ","Expenditure","Marital","Income"
61,1,4,12,2107,5,2808
88,1,2,12,6313,2,16488
62,1,1,12,4746,3,40000
35,1,4,12,15046.1,3,0
65,1,1,15,6094,3,32064
64,2,2,13,15440,1,38329
59,1,2,12,10430.0999,1,0
88,1,4,12,14139,2,20100
22,2,4,13,6927.6,1,43000
55,1,4,15,12802.6281,3,33200
34,1,1,13,11952.2499,1,48000
32,1,1,14,15790.2499,1,82000
76,1,2,12,6027.4499,1,11208
49,1,4,11,6860.4001,5,28966
31,1,2,15,21111.7501,1,53000
45,1,1,15,16221.5002,3,57700
69,2,2,15,6123.5,1,26808
32,1,4,16,17818.6281,5,151700
52,1,1,15,26771.5001,1,187000
49,1,4,14,10417.6001,3,0
31,1,4,13,16243.6283,1,121350
41,1,1,15,10802.5,5,70000
68,1,2,12,4694.5,2,17118
50,1,4,12,6340.0001,1,7000
83,1,2,16,12641.5,1,56823
40,1,4,16,13216.5999,1,25500
39,1,1,13,48532.0001,1,176400
71,1,4,12,8591.5002,3,59852
60,1,2,16,8090.7499,1,50501
53,1,1,11,8274.75,1,40488
74,1,4,15,21103.7499,1,133208
66,1,4,14,5195.25,3,26000
39,1,1,15,10824.4499,1,75000
59,1,1,15,19494.5001,5,84000
80,1,1,12,6143,3,24273
61,1,1,16,19172,2,20400
51,1,1,11,14470.5999,1,73000
88,1,2,12,13697,1,32964
33,1,1,15,21534.128,1,175000
62,1,2,12,14710.75,1,60000
43,1,4,12,74628.9282,1,361608
40,1,4,16,25668.2501,1,185020
36,1,1,13,17405.25,1,106008
64,1,4,14,17172.7501,1,47160
79,1,1,15,12484.6281,2,113564
55,1,2,12,7367,2,32000
66,1,2,14,11739.5,1,19944
37,1,1,16,27722.6281,1,452776
58,1,1,14,40091.428,1,169024
66,1,1,15,11786.75,2,87642
65,1,1,14,17414.6998,1,80000
52,1,1,13,10972.7499,1,61800
53,1,4,11,7677.15,1,24100
56,1,2,16,22992.1001,1,0
49,1,1,13,10772.4,5,3000
22,1,4,13,12502.9999,5,60600
62,1,2,15,24306.9999,1,127600
71,1,4,13,4662,5,15888
58,1,2,11,5174.5,2,18360
70,1,4,11,10766.0501,3,33480
72,1,1,13,6886,2,99608
23,1,4,14,14752.5001,3,131020
59,1,1,16,9920.6281,3,46000
88,1,2,12,9159,1,37908
81,1,2,12,2827,2,1608
62,1,1,14,11698.5,3,61800
50,1,4,15,23093.6281,1,60000
76,1,2,16,22065.9999,1,235636
70,1,1,10,3069.5,2,15512
63,1,2,12,15043.1501,1,7000
68,1,1,16,14153.6281,1,94448
73,1,1,12,10092,2,71208
20,1,2,12,3058.25,5,26000
69,1,4,16,16162.6281,1,5616
58,1,1,15,40926.3781,1,352776
58,2,2,14,5445.5,5,22500
67,1,2,15,6342,3,19878
68,1,4,15,12320,3,28000
48,1,1,15,15491.85,1,135000
59,1,1,13,15727.7501,1,70000
75,1,2,13,10603.35,1,3230
28,1,4,16,7998,5,80000
30,1,1,14,15624.25,1,85060
27,1,4,15,10792,2,2500
64,1,1,13,19089.25,1,138700
82,1,4,12,4186,2,1608
34,1,4,16,12511.6999,1,0
49,1,1,13,12978.7502,1,107268
77,1,2,12,6097,1,9216
29,1,1,11,8230.55,1,29000
29,1,1,13,15859.75,1,62000
56,1,4,12,4178,5,23068
59,1,1,15,47444.6281,1,180000
88,1,2,12,6578,1,63484
47,1,1,16,48563.25,1,257015
73,1,4,13,3834,2,12528
35,1,4,13,13845.3281,1,0
79,1,1,13,11522,1,21876
88,1,2,13,3174.5,2,1400
49,1,1,12,6131.2,3,38404
65,2,1,16,14355.5001,1,76615
29,1,4,13,5891.9,5,20840
29,1,1,13,51809.5,1,43000
49,1,4,14,15006.5001,1,51000
32,1,1,16,8722.25,1,90000
75,1,2,14,24710,1,49944
20,1,4,12,5906.7501,5,37000
53,1,2,15,8319.2,1,197000
38,1,1,14,19187.25,1,129833
60,1,4,11,4630,1,23616
40,1,1,15,9501.0001,1,107000
35,1,4,10,12242.2001,1,0
46,2,1,12,9822.7499,1,44000
31,1,4,12,8535.5,1,6825
55,1,4,13,5760.9999,5,35500
50,2,1,15,26439.5,1,120000
65,1,5,13,7946,2,51676
63,1,4,12,9771,1,41896
25,1,4,12,10143.7501,1,28500
72,1,2,12,11844,1,44716
58,1,1,12,24473.5782,1,80000
23,2,2,12,2745.5001,5,15000
63,1,2,15,11764,1,88000
28,1,4,15,13672.7502,5,85000
56,1,1,12,25731.2949,1,302776
56,1,4,13,13239.1999,3,0
53,1,4,12,11158.5,1,0
40,1,1,13,20506.7001,1,104000
66,1,4,12,3041.25,5,10000
61,1,1,13,19498.2499,1,54775
31,1,1,16,19569.7501,1,125000
44,1,4,14,13585.5002,1,83000
80,1,2,12,8013,1,0
59,1,1,12,5552.2,4,32400
80,1,2,16,10556.4999,1,3216
30,1,1,15,22851.5,1,188000
58,1,2,12,8860.75,5,43960
39,1,4,13,4744.7501,2,37000
71,1,2,14,7974.0999,1,79272
73,1,2,15,5539,3,42408
65,1,2,16,25162.9998,1,183421
59,1,2,12,19658.1501,1,1e+05
24,1,1,15,13332.5,1,105512
53,1,1,16,13388.7501,1,65000
69,1,2,16,16772,1,90000
65,2,2,12,8616,1,37376
69,1,1,12,6508.4501,1,18816
37,1,1,16,14010.75,1,1e+05
38,2,5,13,11900.7999,1,75000
59,1,1,16,40138.9281,1,206990
